config/hidden_dim,config/latent_dim,config/dropout,config/learning_rate,config/start_beta,config/offset_beta,config/annealer,config/num_epochs,fold,epoch,train_loss,eval_loss,eval_metric,elapsed_time,num_users,num_items,num_ratings
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,0,1.026063262400302,0.935761823946116,0.935761823946116,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,1,0.9215307003395123,0.9073736193228741,0.9073736193228741,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,2,0.9055382956158031,0.9032888874715689,0.9032888874715689,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,3,0.8962421768768267,0.8996501601472193,0.8996501601472193,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,4,0.8873639047823169,0.8981349437820668,0.8981349437820668,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,5,0.8794685539196838,0.8921781559379733,0.8921781559379733,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,6,0.8713557676158168,0.8974130390858164,0.8974130390858164,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,7,0.8641433148221536,0.8891371865661777,0.8891371865661777,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,8,0.8582183782349934,0.887759865546713,0.887759865546713,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,0,9,0.8495131233199076,0.9007302966653085,0.9007302966653085,2193.984375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,0,1.058282361518253,0.9267135244242999,0.9267135244242999,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,1,0.9254552083936605,0.9142173413111239,0.9142173413111239,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,2,0.9059563852169297,0.8993986911919652,0.8993986911919652,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,3,0.8966183504597707,0.915063098377111,0.915063098377111,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,4,0.8897316195070744,0.9097809469213292,0.9097809469213292,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,5,0.8798084286126223,0.8967782526600118,0.8967782526600118,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,6,0.8726119686256756,0.8942452267724641,0.8942452267724641,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,7,0.864811270954934,0.89362170379989,0.89362170379989,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,8,0.8584667377851226,0.9165071315911352,0.9165071315911352,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,1,9,0.852949440411546,0.8946191826645209,0.8946191826645209,2378.3125,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,0,1.011424342204224,0.9646093656822127,0.9646093656822127,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,1,0.9191193787211721,0.9067575280763664,0.9067575280763664,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,2,0.9050907047634775,0.8947751741020047,0.8947751741020047,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,3,0.8961041177538308,0.8931018716218521,0.8931018716218521,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,4,0.8879090305756439,0.8915561382867851,0.8915561382867851,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,5,0.8800325524400581,0.8866317740508488,0.8866317740508488,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,6,0.8717208638109945,0.8848595503641634,0.8848595503641634,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,7,0.8651949755847455,0.8855583479209822,0.8855583479209822,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,8,0.8586171702905134,0.8921391027314323,0.8921391027314323,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,2,9,0.8514238036491654,0.8855036077450733,0.8855036077450733,2281.1875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,0,1.0166104927659034,0.9170032970759333,0.9170032970759333,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,1,0.9212368801913479,0.9112728858480648,0.9112728858480648,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,2,0.9066793512891639,0.9073476590672318,0.9073476590672318,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,3,0.8967160835184834,0.9006666413375309,0.9006666413375309,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,4,0.8876222523775967,0.8933575694658318,0.8933575694658318,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,5,0.87885159464045,0.889845224059358,0.889845224059358,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,6,0.87043142196807,0.8846024299154476,0.8846024299154476,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,7,0.8630652490664612,0.8854221725950435,0.8854221725950435,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,8,0.9220962763509967,0.8890578983997812,0.8890578983997812,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,3,9,0.8510768471793695,0.886692473474814,0.886692473474814,2255.84375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,0,1.0282802882519635,0.9154285076929598,0.9154285076929598,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,1,0.9221822103316134,0.9059662168123284,0.9059662168123284,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,2,0.9056655580347235,0.9328744715573837,0.9328744715573837,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,3,0.8965124514292587,0.8955392016440021,0.8955392016440021,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,4,0.887813962250948,0.8916071914896673,0.8916071914896673,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,5,0.8796329735354944,0.8856121861204809,0.8856121861204809,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,6,0.8756024284118956,0.9047643359826536,0.9047643359826536,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,7,0.8689504467628218,0.890279258392295,0.890279258392295,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,8,0.8668952892449769,0.9038148589280187,0.9038148589280187,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,4,9,0.8558642555366863,0.886743044366642,0.886743044366642,2213.671875,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,0,1.0139767295257611,0.916901230203862,0.916901230203862,2214.9375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,1,0.9218793104995381,0.907557914451677,0.907557914451677,2214.9375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,2,0.9067272609607739,0.8990481216080335,0.8990481216080335,2214.9375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,3,0.8975948931818659,0.8926744199528986,0.8926744199528986,2214.9375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,4,0.8892494174567136,0.8908937956605639,0.8908937956605639,2214.9375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,5,0.8804530395025557,0.8896127075565105,0.8896127075565105,2214.9375,6040,3706,1000209
256,128,0.15,0.0029101434858562,0.0010481542905024,0.3621192336397519,zero,10,5,6,0.8718230965462598,0.8878734574025992,0.8878734574025992,2214.9375,6040,3706,1000209
