config/hidden_dim,config/latent_dim,config/dropout,config/learning_rate,config/num_epochs,fold,epoch,train_loss,eval_loss,elapsed_time,num_users,num_items,num_ratings
128,16,0.2,0.005689208458832,10,0,0,1.0441688731350862,0.9353863715517278,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,1,0.947243645977791,0.9182727537593063,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,2,0.9295512675629247,0.9200481377085861,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,3,0.918204721358731,0.9160072599746742,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,4,0.9090678748267386,0.908392188500385,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,5,0.902835585500883,0.9091080728234077,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,6,0.8977644894738941,0.9033342295763443,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,7,0.8929359478413906,0.9079738107262826,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,8,0.8890951784218059,0.9027589930563557,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,0,9,0.8851933565438556,0.8999723877225604,411.304137595,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,0,1.0460158921873477,0.9302226332377415,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,1,0.9481396651481424,0.9138833372568598,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,2,0.9292394197962778,0.9085641634099337,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,3,0.9170600837453857,0.9064638569038741,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,4,0.9090924361325285,0.9020888960483123,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,5,0.9030552631448907,0.900198195357712,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,6,0.8973932158001854,0.8994137936708878,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,7,0.8932524313554739,0.8969626794664227,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,8,0.8888009114338614,0.8975154070221648,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,1,9,0.8852569351110922,0.8955329477178807,895.8405964110001,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,0,1.0425132055721624,0.9280071979274556,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,1,0.9459155839879799,0.9124561539109872,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,2,0.9257519556128461,0.9056138904119024,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,3,0.9151703582700256,0.9076237775841538,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,4,0.9059149014675404,0.8992985693775878,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,5,0.9003531576117592,0.8983859501931132,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,6,0.8958185782365482,0.897854783097092,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,7,0.8922713900466099,0.8978853587593351,1170.175950335,6040,3706,1000209
128,16,0.2,0.005689208458832,10,2,8,0.8887557019205654,0.8967530797330701,1170.175950335,6040,3706,1000209
