config/embedding_dim,config/dropout,config/learning_rate,config/num_epochs,fold,epoch,train_loss,eval_loss,elapsed_time,num_users,num_items,num_ratings
128,0.25,0.0019732544667233,10,0,0,1.1035003598440778,0.9372082711482534,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,1,0.979985037310557,0.9233531173394651,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,2,0.9448759697377682,0.9142058479542635,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,3,0.9238501715389165,0.9108207201471135,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,4,0.9107951972294938,0.9088445999184434,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,5,0.9029166325249455,0.9047837081004162,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,6,0.8968971543691375,0.9058577460902077,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,7,0.8919052517549558,0.9060479542430566,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,8,0.8876319223506884,0.9007471726865185,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,0,9,0.882887890799479,0.8994374062333789,1037.65625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,0,1.0968855513767763,0.9431935980611917,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,1,0.9781264606524598,0.9326355524209081,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,2,0.9469918523322453,0.9162854990180658,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,3,0.9261867209591649,0.912735637353391,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,4,0.9127589489925991,0.9100293930695982,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,5,0.9044319422407584,0.905174906156501,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,6,0.89842794530771,0.9044990849738218,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,7,0.8926938922567801,0.9027024209499359,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,8,0.8876522263342684,0.900445149869335,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,1,9,0.8826855323531411,0.8985411032122008,1018.265625,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,0,1.107335730980743,0.933135159161626,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,1,0.9800280062989755,0.9211429108162316,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,2,0.9446421545337547,0.9091443419456482,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,3,0.922717232663523,0.9088632592133113,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,4,0.9092429495670579,0.9011915532910094,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,5,0.9006670951165936,0.8974785877733814,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,6,0.8933489193970506,0.893964386716181,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,7,0.8868992464786226,0.8930982114100943,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,8,0.8814805940470912,0.8881325368978539,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,2,9,0.8757496406408873,0.885749281060939,1011.484375,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,0,1.1085683828727766,0.9340466412962699,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,1,0.9799987215210091,0.9187144691846809,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,2,0.9450330505316907,0.9094756835577439,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,3,0.9232154767621648,0.9049248962986226,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,4,0.9102271323176947,0.9020712497283001,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,5,0.9024527848444202,0.8999101841936306,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,6,0.8964455851777033,0.8982488123738036,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,7,0.8914353892207145,0.8974027962100749,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,8,0.8868434104729782,0.8952502510985549,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,3,9,0.881449590284716,0.8956764115362751,1020.90625,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,0,1.108193122527816,0.9380132726260594,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,1,0.9809123543175784,0.9252241345084443,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,2,0.9478332694958557,0.911897102789003,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,3,0.9258915530009704,0.9063521137042921,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,4,0.9125057193365964,0.9037762989803236,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,5,0.9039483507248488,0.9005407423389201,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,6,0.8973113246262073,0.8987421557611349,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,7,0.8925372524694963,0.8981355069851389,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,8,0.8878431126475335,0.8994152235741518,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,4,9,0.8829846040091731,0.8938581718474018,1001.4375,6040,3706,1000209
128,0.25,0.0019732544667233,10,5,0,1.0907731052149425,0.9464008017462127,1009.53125,6040,3706,1000209
128,0.25,0.0019732544667233,10,5,1,0.9756262744692239,0.9174828176595726,1009.53125,6040,3706,1000209
128,0.25,0.0019732544667233,10,5,2,0.9428390985862776,0.9093053718002475,1009.53125,6040,3706,1000209
128,0.25,0.0019732544667233,10,5,3,0.923520726846023,0.9070760662458381,1009.53125,6040,3706,1000209
