config/embedding_dim,config/dropout,config/learning_rate,config/num_epochs,fold,epoch,train_loss,eval_loss,eval_metric,elapsed_time,num_users,num_items,num_ratings
512,0.2,0.0010887937927239,100,0,0,2.9734118886427447,2.974065348566795,0.7712124503388698,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,1,1.3086670392616229,0.8896200316292899,0.9429519541409552,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,2,0.9739896615797824,0.8731835241220436,0.934243955174271,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,3,0.9180425404147668,0.8517069475991386,0.9226222488344932,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,4,0.8904451668939807,0.8443935185062642,0.918610015693976,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,5,0.8647288429466161,0.8348164844269655,0.9134918585115548,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,6,0.8369614343074235,0.8230565889757506,0.9069268660885949,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,7,0.8102455865930427,0.8232617639765447,0.9070463016325112,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,8,0.7891443914987825,0.8052482106247727,0.8971006955419268,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,9,0.769740332392129,0.8044090015547616,0.8966836594805425,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,10,0.7537237095561895,0.793294079449712,0.8904381795805327,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,11,0.7396465705877001,0.7928485663569703,0.8901797453967892,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,12,0.7269994921304963,0.7876820819718497,0.8872800864735428,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,13,0.7154423238201575,0.7903487189691893,0.8887026820863996,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,14,0.703237686780366,0.7910557024332942,0.889111897775105,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,15,0.6912601071325215,0.7843041845730373,0.8853157418114799,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,16,0.6794493221423843,0.7821704690553704,0.8841548154548723,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,17,0.6674678240987387,0.7841424473694393,0.885248714563798,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,18,0.657331790571863,0.7833865905294612,0.8847873289974368,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,19,0.6461777825924483,0.7822541703983229,0.8841589050633567,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,20,0.6376851031048731,0.7842179646297377,0.8853308017156563,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,21,0.6274358012459494,0.7872447322825996,0.8870003089612845,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,22,0.6195157339627092,0.7874057007079222,0.8870823754339802,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,23,0.6106504309583795,0.7849733050988645,0.8857252220718228,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,24,0.6022143404592167,0.7913980654307774,0.8893179954314718,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,25,0.5958183132112026,0.787850734530663,0.8873301598490501,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,26,0.5873613140799783,0.790744350272782,0.8889313559142911,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,27,0.5819145290350373,0.7912741808258758,0.8892319190258883,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,28,0.5746858351948586,0.8051588736018356,0.8970444439625254,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,29,0.5692874193191528,0.7972689094592114,0.8926470237118858,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,30,0.5633627028289167,0.7922574597962049,0.8898549298850857,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,31,0.5580188779668375,0.7922412084073437,0.8897774596603549,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,32,0.5534843148155646,0.7918265674795423,0.8895852365055863,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,33,0.548248270357197,0.7922678352618704,0.8897730531741161,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,34,0.5437345624647357,0.8022545460535555,0.8952647100905983,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,35,0.5383845920251175,0.7942934668793971,0.8909800496636605,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,36,0.5342065049166029,0.8037721374813391,0.8962544634634134,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,37,0.5293832406740296,0.7953525611332485,0.8915624211029131,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,38,0.5262089788913726,0.7985970335347312,0.8933756284567774,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,39,0.5220259333876046,0.7965975683562609,0.892264801020525,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,40,0.5169282969087362,0.8037849561292298,0.8962541447610272,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,41,0.5144258369776336,0.8062173188949118,0.8975337810662328,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,42,0.511705541881648,0.8008079510562274,0.8945862760349196,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,43,0.5073665160685777,0.8138103101934705,0.9017806947231292,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,44,0.5045022265477614,0.8141540574784182,0.9020029847719232,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,45,0.502086055278778,0.8110801778277572,0.900299922544129,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,46,0.498880964720791,0.7990942104738585,0.8936482491541882,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,47,0.4959700485522096,0.8071682027408055,0.8981426358222961,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,48,0.4923601127483628,0.8040234787123544,0.8963876567324813,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,49,0.4894387269561941,0.8087280520371029,0.8989899389597834,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,50,0.4878452906893058,0.8177001914199518,0.9039432905158218,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,51,0.4856318113478747,0.798154108378352,0.8930928926078641,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,52,0.4827355044470592,0.8060832741309185,0.8975654037631288,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,53,0.4798980742692947,0.8114182121899663,0.9004138537815639,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,54,0.4775530830364335,0.804224471048433,0.8965398158345904,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,55,0.4762856143103404,0.8121316213997043,0.9008600200925556,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,56,0.4733061798594214,0.8243144282272884,0.9076330156958832,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,57,0.4714705224741589,0.8194576209905197,0.9048876330560568,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,58,0.469670673798431,0.8067900276913935,0.8979960564447909,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,59,0.4668475640768355,0.8143542895511705,0.9020914058296048,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,60,0.4649190769954161,0.8280756041711691,0.9095260087324648,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,61,0.4631860774687745,0.8310647576439137,0.9112605598508096,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,62,0.4612952511418949,0.8090378246745284,0.8991334821496691,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,63,0.4593260119584473,0.829304079011995,0.9103434310883892,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,64,0.457378871163184,0.8262311828379728,0.9086927674254592,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,65,0.4561881092800335,0.820010598216738,0.9052035218598892,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,66,0.4549664204093543,0.811877924568799,0.9007299372128078,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,67,0.4526395662603053,0.8042447433179739,0.896538359778268,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,68,0.4511991435831243,0.8311326534164195,0.9113324996160002,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,69,0.4496832589872859,0.8189197170491122,0.9046760487313174,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,70,0.4478861227292906,0.8263404223383689,0.9086913405632486,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,71,0.4461766446517272,0.8127451295755348,0.9012036463435816,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,72,0.4455393342470581,0.8163598970491059,0.9032985373419158,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,73,0.4447877668860284,0.8102115781939759,0.8997765597032041,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,74,0.4423331031067805,0.8192813591081269,0.9048613796428758,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,75,0.4413766631348567,0.8457961842721823,0.9193578459778612,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,76,0.440795825286345,0.8200658626702367,0.905306010830159,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,77,0.4394602628594095,0.8270739870412009,0.909123209058022,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,78,0.4378985287113623,0.824616073953862,0.9077578856020556,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,79,0.4364169571887363,0.8151640648744545,0.9026084846379806,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,80,0.4356402209875258,0.8171048809070977,0.9035721573294424,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,81,0.4337740824981169,0.8263309080989993,0.9087811465166054,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,82,0.4329485001550479,0.8421954305804505,0.9173909462228114,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,83,0.4312114923853766,0.8198368409458472,0.9050971999460335,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,84,0.4300021669742735,0.8302431653956978,0.910855045123976,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,85,0.429728681797331,0.8289689969043342,0.9101464717972036,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,86,0.4285899281163107,0.8185057512351445,0.90447079709598,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,87,0.4272312436252832,0.8179313929713502,0.9041320857953052,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,88,0.4264500471678647,0.8310197324168925,0.9112591792126092,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,89,0.4259400068697604,0.8326215616294316,0.9121591771135524,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,90,0.4247231203724037,0.8195224763179312,0.9050427650918766,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,91,0.423773303289305,0.8449793828993427,0.91889559553594,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,92,0.4225022139874371,0.8214764680181231,0.9061134007512308,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,93,0.4212289156561548,0.8311891428061894,0.9113477249534764,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,94,0.4207590078765695,0.8228655238540805,0.9067126676744344,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,95,0.4203234406018799,0.8455002119346541,0.9192251581318523,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,96,0.4182458147406578,0.8252042757005108,0.9081070879284217,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,97,0.4176238912411711,0.8206000565266123,0.9055572875908444,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,98,0.4163126134736971,0.8237167882676028,0.9072396451113176,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,99,0.4165474163537676,0.8159089453366338,0.9029916537051298,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,0,100,0.4148613961921497,0.8332360660543248,0.912565470350032,974.002386358,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,0,2.6772416960109364,2.681453994828827,0.7322915242642771,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,1,1.272090294076638,0.8994149079128188,0.9481487061296192,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,2,0.9747841828248718,0.881062698607542,0.9384035638400486,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,3,0.9184832691468976,0.8524692015988486,0.9229764603838628,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,4,0.8875656152990732,0.8468887599147096,0.920053831776794,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,5,0.8636805900795893,0.8539578464566445,0.923919573730352,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,6,0.8394597333940592,0.8387328197761458,0.915552172733813,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,7,0.815709066120061,0.8346756149311455,0.913379290882422,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,8,0.7932249682870778,0.8098388849472513,0.8997060078747419,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,9,0.774698925695636,0.8020806811293777,0.8953733839550797,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,10,0.7574950684200633,0.7983141298196754,0.8932685134362202,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,11,0.7426795337687839,0.79133775039595,0.8893277809327963,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,12,0.7294716348024932,0.7888534105553919,0.8878895810672215,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,13,0.7165924089198763,0.786512480098374,0.8866241282346298,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,14,0.7036084948615594,0.7842547905688383,0.8853290068859957,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,15,0.6918588735840537,0.7810256985985503,0.8834918159611371,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,16,0.6805498270825906,0.7788814215027556,0.8822766542434692,981.114074025,6040,3706,1000209
512,0.2,0.0010887937927239,100,1,17,0.6697300050068985,0.7828478369177604,0.8845259072829266,981.114074025,6040,3706,1000209
