config/hidden_dim,config/latent_dim,config/dropout,config/learning_rate,config/start_beta,config/offset_beta,config/annealer,config/num_epochs,fold,epoch,train_loss,eval_loss,eval_metric,elapsed_time,num_users,num_items,num_ratings
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,0,1.128446430306543,0.995622526017987,0.995622526017987,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,1,0.9893419172953476,0.9290668879236493,0.9290668879236493,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,2,0.9535045091401447,0.9131519161925024,0.9131519161925024,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,3,0.9325029285793954,0.9116046793606817,0.9116046793606817,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,4,0.9195300177417018,0.9202702361710218,0.9202702361710218,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,5,0.909923029826446,0.9060138530877172,0.9060138530877172,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,6,0.9024667967449534,0.9072059593638595,0.9072059593638595,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,7,0.8965319547463547,0.906028576651398,0.906028576651398,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,8,0.8910890544680032,0.8995882953916278,0.8995882953916278,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,0,9,0.8859883911230347,0.903776334256542,0.903776334256542,2276.65625,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,0,1.1118080863221125,0.9830051447663989,0.9830051447663989,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,1,0.9803200053897771,0.9433711901003,0.9433711901003,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,2,0.9483813857490366,0.911704740353993,0.911704740353993,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,3,0.929478104073893,0.9054586936016472,0.9054586936016472,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,4,0.915759649398652,0.9141363033226558,0.9141363033226558,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,5,0.9062137170948765,0.9040628014778604,0.9040628014778604,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,6,0.8982163408263163,0.9050966111981139,0.9050966111981139,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,7,0.8922821332785216,0.9030103908509625,0.9030103908509625,2410.671875,6040,3706,1000209
128,256,0.35,0.0015685333845184,0.0010533765286064,0.7067468571302463,zero,10,1,8,0.8864892923019149,0.8969632685184479,0.8969632685184479,2410.671875,6040,3706,1000209
