config/embedding_dim,config/dropout,config/learning_rate,config/num_epochs,fold,epoch,train_loss,eval_loss,elapsed_time,num_users,num_items,num_ratings
512,0.2,0.0010887937927239,10,0,0,1.1232183160226974,0.9446390925013289,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,1,0.9847406446933746,0.9312183832635685,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,2,0.9551919484534837,0.9232493204121687,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,3,0.9368946029402107,0.9177910059082265,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,4,0.9213427440894534,0.9143292301771592,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,5,0.9080075568250378,0.9081523594807606,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,6,0.8955655353301016,0.9028737055403846,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,7,0.8844948739499388,0.8998672950024508,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,8,0.8751648422092428,0.8962058266814874,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,0,9,0.867051756824069,0.8950627808059964,2641.797663715,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,0,1.116284101134371,0.9397913433459341,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,1,0.9805883138685885,0.9235963052024647,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,2,0.9517151993863723,0.9180893253306953,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,3,0.9351731877955024,0.9139464631372568,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,4,0.921778832936226,0.9086147452495537,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,5,0.9092674855990788,0.9056290336409394,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,6,0.8973774095935285,0.9006776660680771,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,7,0.8866732602229204,0.8998471279533542,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,8,0.877055377149216,0.8935868861723919,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,1,9,0.8677645975823902,0.8912681845986113,2421.435342362,6040,3706,1000209
512,0.2,0.0010887937927239,10,2,0,1.074152014520772,0.9375772990134298,2744.562497424,6040,3706,1000209
512,0.2,0.0010887937927239,10,2,1,0.969680820965706,0.9220762861018278,2744.562497424,6040,3706,1000209
512,0.2,0.0010887937927239,10,2,2,0.9442184549920699,0.9168599503380912,2744.562497424,6040,3706,1000209
512,0.2,0.0010887937927239,10,2,3,0.9291033564930986,0.9136461642931919,2744.562497424,6040,3706,1000209
